2025-11-24 19:40:13 | INFO | controller | Контроллер запущен
2025-11-24 19:40:13 | ERROR | model | [Errno 2] No such file or directory: 'data.json'
2025-11-24 19:40:13 | INFO | view | Пользовательское меню вызвано
2025-11-24 19:40:48 | INFO | controller | Контроллер запущен
2025-11-24 19:40:48 | ERROR | model | [Errno 2] No such file or directory: 'data.json'
2025-11-24 19:40:48 | INFO | view | Пользовательское меню вызвано
2025-11-24 19:42:48 | INFO | controller | Контроллер запущен
2025-11-24 19:42:48 | ERROR | model | [Errno 2] No such file or directory: 'data.json'
2025-11-24 19:42:48 | INFO | view | Пользовательское меню вызвано
2025-11-24 19:43:26 | INFO | controller | Контроллер запущен
2025-11-24 19:43:26 | INFO | view | Пользовательское меню вызвано
2025-11-24 19:43:35 | INFO | controller | В переменной line: ['ewfwfg', 1]
2025-11-24 19:43:35 | INFO | view | Пользовательское меню вызвано
